GRNAME,AccidentYear,lag,DevelopmentYear,GRCODE,DevelopmentLag,cumulative_incurred,cumulative_paid,BulkLoss_D,EarnedPremDIR_D,EarnedPremCeded_D,EarnedPremNet_D,Single,PostedReserve97_D,paid_to_incurred
Allstate Ins Co Grp,1988,1,1988,86,1,367404,70571,127737,400699,5957,394742,0,281872,0.19208010800100161
Allstate Ins Co Grp,1988,2,1989,86,2,362988,155905,60173,400699,5957,394742,0,281872,0.4295045566244614
Allstate Ins Co Grp,1988,3,1990,86,3,347288,220744,27763,400699,5957,394742,0,281872,0.6356223077100274
Allstate Ins Co Grp,1988,4,1991,86,4,330648,251595,15280,400699,5957,394742,0,281872,0.7609149306815708
Allstate Ins Co Grp,1988,5,1992,86,5,354690,274156,27689,400699,5957,394742,0,281872,0.7729453889311794
Allstate Ins Co Grp,1988,6,1993,86,6,350092,287676,20641,400699,5957,394742,0,281872,0.8217154347999954
Allstate Ins Co Grp,1988,7,1994,86,7,346808,298499,14513,400699,5957,394742,0,281872,0.8607039053309036
Allstate Ins Co Grp,1988,8,1995,86,8,349124,304873,15862,400699,5957,394742,0,281872,0.8732513376336202
Allstate Ins Co Grp,1988,9,1996,86,9,348157,321808,8974,400699,5957,394742,0,281872,0.9243186263668403
Allstate Ins Co Grp,1988,10,1997,86,10,347762,325322,8843,400699,5957,394742,0,281872,0.9354731109206872
Allstate Ins Co Grp,1989,1,1989,86,1,336928,66547,116172,379603,5351,374252,0,281872,0.19751104093456168
Allstate Ins Co Grp,1989,2,1990,86,2,316483,136447,52298,379603,5351,374252,0,281872,0.4311353216444485
Allstate Ins Co Grp,1989,3,1991,86,3,278496,179142,20543,379603,5351,374252,0,281872,0.6432480179248535
Allstate Ins Co Grp,1989,4,1992,86,4,303033,211343,28846,379603,5351,374252,0,281872,0.697425692911333
Allstate Ins Co Grp,1989,5,1993,86,5,299496,231430,22033,379603,5351,374252,0,281872,0.7727315222907818
Allstate Ins Co Grp,1989,6,1994,86,6,295061,244750,17174,379603,5351,374252,0,281872,0.8294894953924782
Allstate Ins Co Grp,1989,7,1995,86,7,299251,254557,17851,379603,5351,374252,0,281872,0.850647115632028
Allstate Ins Co Grp,1989,8,1996,86,8,297492,270059,10305,379603,5351,374252,0,281872,0.9077857555833434
Allstate Ins Co Grp,1989,9,1997,86,9,300620,273873,12520,379603,5351,374252,0,281872,0.9110272104317744
Allstate Ins Co Grp,1989,10,1998,86,10,296626,277574,7331,379603,5351,374252,0,281872,0.9357709708521842
Allstate Ins Co Grp,1990,1,1990,86,1,289198,52233,108959,283661,3341,280320,0,281872,0.18061328224953146
Allstate Ins Co Grp,1990,2,1991,86,2,311381,133370,62543,283661,3341,280320,0,281872,0.42831772009210584
Allstate Ins Co Grp,1990,3,1992,86,3,277980,178444,32561,283661,3341,280320,0,281872,0.6419310741779984
Allstate Ins Co Grp,1990,4,1993,86,4,277732,204442,25858,283661,3341,280320,0,281872,0.7361125113418692
Allstate Ins Co Grp,1990,5,1994,86,5,276563,222193,21189,283661,3341,280320,0,281872,0.8034082650246056
Allstate Ins Co Grp,1990,6,1995,86,6,278067,232940,16645,283661,3341,280320,0,281872,0.8377117745003901
Allstate Ins Co Grp,1990,7,1996,86,7,276704,253337,9428,283661,3341,280320,0,281872,0.9155523591997224
Allstate Ins Co Grp,1990,8,1997,86,8,281101,256788,11861,283661,3341,280320,0,281872,0.9135079562150259
Allstate Ins Co Grp,1990,9,1998,86,9,278023,261166,6895,283661,3341,280320,0,281872,0.9393683256421231
Allstate Ins Co Grp,1990,10,1999,86,10,279032,263000,6455,283661,3341,280320,0,281872,0.9425442243183577
Allstate Ins Co Grp,1991,1,1991,86,1,297174,59315,112836,318922,4940,313982,0,281872,0.19959686917428845
Allstate Ins Co Grp,1991,2,1992,86,2,277209,128051,60251,318922,4940,313982,0,281872,0.46192944673513486
Allstate Ins Co Grp,1991,3,1993,86,3,269739,169793,37066,318922,4940,313982,0,281872,0.6294714520332618
Allstate Ins Co Grp,1991,4,1994,86,4,272666,196685,28931,318922,4940,313982,0,281872,0.7213403944752921
Allstate Ins Co Grp,1991,5,1995,86,5,271318,213165,24175,318922,4940,313982,0,281872,0.7856647918678451
Allstate Ins Co Grp,1991,6,1996,86,6,267578,234676,12850,318922,4940,313982,0,281872,0.8770377235796665
Allstate Ins Co Grp,1991,7,1997,86,7,269592,239195,12899,318922,4940,313982,0,281872,0.8872481379269415
Allstate Ins Co Grp,1991,8,1998,86,8,267745,245499,8296,318922,4940,313982,0,281872,0.9169134811107583
Allstate Ins Co Grp,1991,9,1999,86,9,266677,247131,7246,318922,4940,313982,0,281872,0.9267053401680685
Allstate Ins Co Grp,1991,10,2000,86,10,264467,248319,5807,318922,4940,313982,0,281872,0.9389413423981063
Allstate Ins Co Grp,1992,1,1992,86,1,181796,39991,73135,257236,4538,252698,0,281872,0.21997733723514268
Allstate Ins Co Grp,1992,2,1993,86,2,205079,89873,52160,257236,4538,252698,0,281872,0.43823599685974673
Allstate Ins Co Grp,1992,3,1994,86,3,199106,114117,39554,257236,4538,252698,0,281872,0.5731469669422318
Allstate Ins Co Grp,1992,4,1995,86,4,187833,133003,20231,257236,4538,252698,0,281872,0.708091762363376
Allstate Ins Co Grp,1992,5,1996,86,5,185663,154362,12532,257236,4538,252698,0,281872,0.8314095969579292
Allstate Ins Co Grp,1992,6,1997,86,6,184940,159496,11114,257236,4538,252698,0,281872,0.8624202444035903
